net,length_um
_1378_,103.66µm
net161,103.3µm
net78,103.06µm
_1359_,103.02µm
net167,102.83µm
net347,102.4µm
_2270_,102.28µm
net293,102.28µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[7\],102.07µm
net312,101.99µm
U_TOP.U_CACHE.DM_ADDR\[1\],101.84µm
_1570_,101.59µm
_2630_,101.21µm
net234,101.1µm
net236,100.92µm
clknet_leaf_21_clk,100.9µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[5\],100.88µm
net267,100.73µm
net285,100.72µm
net19,100.66µm
net231,100.325µm
net130,100.28µm
_1803_,100.14µm
net160,100.065µm
net288,100µm
U_TOP.U_CACHE.IF_ADDR\[15\],99.57µm
_1878_,99.48µm
net18,99.06µm
net110,98.9µm
net274,98.79µm
_2632_,98.65µm
clknet_leaf_52_clk,98.54µm
net336,97.79µm
net281,97.76µm
_1806_,97.63µm
clknet_leaf_49_clk,97.54µm
_0931_,97.41µm
_1951_,97.36µm
clknet_leaf_48_clk,97.14µm
net25,96.71µm
clknet_leaf_51_clk,95.64µm
U_TOP.U_CACHE.dc_d0\[2\],95.57µm
_1956_,95.54µm
clknet_leaf_20_clk,95.5µm
net248,95.47µm
net116,95.2µm
_1289_,95.1µm
net65,95.06µm
net164,94.74µm
net76,94.54µm
clknet_leaf_10_clk,94.44µm
net12,94.36µm
net17,94.36µm
_2284_,94.21µm
net342,94.01µm
_2263_,93.68µm
net171,93.62µm
net20,93.465µm
U_TOP.U_CACHE.dc_a0\[3\],93.3µm
net211,93.28µm
net62,93.24µm
U_TOP.U_UART.BRG.sio_ce,93.015µm
net291,92.83µm
_1118_,92.74µm
clknet_leaf_54_clk,92.66µm
net323,92.32µm
net300,92.29µm
_2395_,91.9µm
net88,91.8µm
clknet_leaf_2_clk,91.67µm
_2407_,90.85µm
U_TOP.U_CACHE.dc_d0\[6\],90.32µm
net344,90.15µm
net13,90.14µm
_1885_,89.72µm
net135,89.67µm
net301,89.41µm
_1879_,89.38µm
net297,89.07µm
net196,89.06µm
net337,88.97µm
net272,88.72µm
net150,88.54µm
net280,88.03µm
_0923_,87.645µm
U_TOP.U_CACHE.dc_a0\[0\],87.61µm
clknet_leaf_23_clk,87.26µm
_2214_,86.98µm
net227,86.92µm
net39,86.89µm
_0913_,86.59µm
_1957_,86.55µm
U_TOP.U_CACHE.dm_mis_dphase_addr\[1\],86.38µm
net106,86.34µm
net85,86.14µm
net349,86.07µm
net114,86.06µm
_1947_,86.04µm
clknet_leaf_13_clk,85.92µm
clknet_leaf_15_clk,85.9µm
net242,85.89µm
net290,85.59µm
clknet_leaf_18_clk,85.55µm
net331,85.29µm
net158,85.19µm
_1346_,85.06µm
U_TOP.U_CACHE.dc_d0\[4\],84.99µm
net113,84.75µm
_1855_,84.635µm
U_TOP.U_CPU.dr_data\[3\],84.31µm
_1571_,84.1µm
_0712_,84µm
net326,83.84µm
_1245_,83.61µm
_1546_,83.57µm
net90,83.55µm
_1051_,83.42µm
_1680_,82.88µm
_0713_,82.56µm
_2319_,82.4µm
_1703_,82.18µm
_1114_,82.02µm
U_TOP.U_UART.BRG.br_clr,81.86µm
clknet_leaf_46_clk,81.62µm
net10,81.58µm
net68,81.48µm
_2291_,81.3µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[1\],81.27µm
net273,81.16µm
net321,81.12µm
net213,81.06µm
clknet_leaf_47_clk,80.65µm
_0706_,80.4µm
net260,80.4µm
net319,80.07µm
U_TOP.U_RAM.QSPI_SIO_O\[2\],79.81µm
U_TOP.U_CACHE.DM_ADDR\[8\],79.74µm
net42,79.27µm
_1907_,79.1µm
clknet_leaf_11_clk,78.86µm
_1065_,78.8µm
net198,78.78µm
U_TOP.U_CACHE.dc_d1\[10\],78.61µm
net246,78.6µm
U_TOP.U_CPU.dr_data\[5\],78.58µm
net182,78.52µm
net305,78.19µm
_1495_,78.16µm
_1559_,78.05µm
U_TOP.U_CACHE.dc_d0\[5\],77.78µm
net277,77.61µm
clknet_leaf_33_clk,77.6µm
_1714_,77.41µm
_1533_,77.28µm
net156,77.06µm
U_TOP.U_CACHE.DM_ADDR\[3\],77.01µm
_1931_,76.92µm
clknet_leaf_35_clk,76.68µm
net94,76.64µm
_1101_,76.42µm
_0727_,76.4µm
net215,76.38µm
net209,76.335µm
net299,76.25µm
_1373_,76.22µm
net96,76.18µm
_2355_,76.125µm
net278,76.04µm
_1939_,75.96µm
_0960_,75.88µm
net296,75.7µm
_1302_,75.64µm
_2298_,75.62µm
_2207_,75.41µm
net212,75.345µm
net328,75.19µm
net219,75.16µm
net199,75.1µm
U_TOP.U_RAM.seq\[3\],74.99µm
net329,74.97µm
net36,74.85µm
U_TOP.U_CACHE.DM_ADDR\[13\],74.69µm
_0763_,74.335µm
U_TOP.U_RAM.addr\[11\],74µm
_1134_,73.88µm
_0963_,73.84µm
net152,73.6µm
clknet_leaf_17_clk,73.52µm
_1732_,73.14µm
net66,73.12µm
net23,72.84µm
_1127_,72.74µm
_2320_,72.69µm
_1248_,72.67µm
net318,72.57µm
net84,72.56µm
net92,72.49µm
_0749_,72.42µm
_0933_,72.36µm
_0769_,72.29µm
net302,72.17µm
_1379_,71.73µm
net214,71.595µm
net224,71.52µm
clknet_leaf_19_clk,71.44µm
net325,71.34µm
net151,71.33µm
_0942_,71.26µm
_1573_,71.26µm
_2399_,71.25µm
_1959_,71.2µm
net238,71µm
U_TOP.U_CACHE.dc_d1\[4\],70.84µm
_0914_,70.68µm
_1308_,70.63µm
_1674_,70.555µm
U_TOP.U_UART.div0_dphase,70.52µm
U_TOP.U_CACHE.dc_d0\[7\],70.46µm
net226,70.44µm
U_TOP.U_RAM.addr\[7\],70.37µm
_0944_,70.18µm
net311,70.08µm
net166,70µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.rp\[0\],69.99µm
net95,69.78µm
_2305_,69.76µm
_0938_,69.705µm
_1630_,69.58µm
net67,69.1µm
U_TOP.U_CACHE.bus_read,69.01µm
_2520_,69µm
net15,69µm
_1249_,68.945µm
U_TOP.U_CACHE.dm_mis_dphase_addr\[0\],68.56µm
_0922_,68.39µm
net284,68.31µm
_0859_,68.22µm
_0747_,68.14µm
U_TOP.U_CACHE.DM_ADDR\[10\],67.92µm
_2380_,67.92µm
_1842_,67.68µm
U_TOP.U_CACHE.dc_d1\[8\],67.66µm
_2029_,67.4µm
U_TOP.U_CACHE.dc_a0\[11\],67.32µm
U_TOP.U_RAM.QSPI_SIO_O\[3\],67.32µm
_1250_,67.09µm
net348,66.94µm
U_TOP.U_RAM.QSPI_SIO_O\[1\],66.8µm
_0742_,66.77µm
_1298_,66.16µm
net339,66.1µm
_1252_,65.96µm
_0847_,65.68µm
net333,65.455µm
net168,65.31µm
_1584_,65.22µm
U_TOP.U_CACHE.IF_ADDR\[3\],65.18µm
_2392_,64.76µm
net87,64.42µm
net222,64.38µm
net304,64.12µm
_0941_,64.04µm
net32,64µm
U_TOP.U_RAM.addr\[8\],63.92µm
net9,63.62µm
net64,63.53µm
_2026_,63.46µm
clknet_leaf_50_clk,63.46µm
net345,62.94µm
_1090_,62.7µm
U_TOP.U_CACHE.dm_hit_dphase_addr\[0\],62.48µm
U_TOP.U_CACHE.dc_a0\[2\],62.42µm
U_TOP.U_UART.BRG.div0\[7\],62.39µm
U_TOP.U_CACHE.dc_d1\[24\],62.3µm
net221,61.86µm
_0389_,61.74µm
_0716_,61.68µm
_1534_,61.68µm
clknet_leaf_5_clk,61.68µm
U_TOP.U_CACHE.bus_count\[2\],61.66µm
net279,61.59µm
_1241_,61.52µm
U_TOP.U_UART.BRG.div1\[2\],61.5µm
_2347_,61.5µm
U_TOP.U_CACHE.dc_d0\[8\],61.22µm
