net,length_um
U_TOP.U_UART.U_SASC_TOP.tx_fifo.gb,15.42µm
_2223_,15.42µm
_2521_,15.42µm
_0851_,15.4µm
_1416_,15.4µm
U_TOP.U_CACHE.bus_pend_wdata\[19\],15.395µm
_0985_,15.38µm
_1804_,15.38µm
_0722_,15.36µm
U_TOP.U_CACHE.ic_a1\[3\],15.34µm
U_TOP.U_CPU.ir_data\[6\],15.34µm
_2012_,15.34µm
_2075_,15.305µm
_0796_,15.3µm
_0810_,15.3µm
_0838_,15.28µm
_1526_,15.28µm
_0071_,15.265µm
_0436_,15.26µm
_1390_,15.26µm
net632,15.26µm
_2613_,15.24µm
_2184_,15.22µm
_2622_,15.22µm
U_TOP.U_UART.U_SASC_TOP.rx_go,15.2µm
_0309_,15.2µm
_0756_,15.2µm
_2260_,15.16µm
_1224_,15.14µm
_1290_,15.14µm
_0773_,15.12µm
net661,15.12µm
U_TOP.U_UART.U_SASC_TOP.change,15.1µm
_0829_,15.1µm
_0840_,15.1µm
U_TOP.U_UART.U_SASC_TOP.tx_bit_cnt\[2\],15.07µm
U_TOP.U_CACHE.ic_a0\[9\],15.06µm
_2447_,15.06µm
_2597_,15.06µm
_1589_,15.05µm
_0043_,15.005µm
U_TOP.U_CACHE.ic_d1\[3\],15µm
_1971_,15µm
_0318_,14.98µm
U_TOP.U_CACHE.dc_d0\[24\],14.96µm
U_TOP.U_CACHE.ic_a2\[8\],14.96µm
_1102_,14.94µm
_1022_,14.88µm
U_TOP.U_CACHE.bus_repl_addr\[8\],14.86µm
net566,14.84µm
U_TOP.U_CACHE.ic_d1\[25\],14.8µm
_1726_,14.8µm
_0940_,14.78µm
_2367_,14.78µm
U_TOP.U_UART.U_SASC_TOP.shift_en_r,14.77µm
_2603_,14.76µm
net449,14.76µm
_2700_,14.75µm
net394,14.74µm
_1900_,14.72µm
_2055_,14.72µm
U_TOP.U_CACHE.ic_d0\[28\],14.7µm
U_TOP.U_CPU.indent\[10\],14.7µm
net671,14.7µm
_1404_,14.68µm
net741,14.68µm
_2080_,14.66µm
_1480_,14.64µm
_2588_,14.64µm
_0688_,14.62µm
_1021_,14.62µm
U_TOP.U_CACHE.ic_a2\[10\],14.6µm
_0959_,14.6µm
_1149_,14.6µm
_1464_,14.6µm
U_TOP.U_CACHE.ic_d2\[0\],14.565µm
_1084_,14.56µm
_1320_,14.56µm
_2130_,14.56µm
U_TOP.U_CACHE.ic_d0\[8\],14.54µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[14\],14.54µm
_1095_,14.53µm
_1033_,14.52µm
U_TOP.U_CACHE.ic_d3\[2\],14.49µm
_0868_,14.48µm
_1796_,14.46µm
_2205_,14.46µm
_0772_,14.44µm
_2649_,14.43µm
U_TOP.U_CACHE.ic_d3\[24\],14.42µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[3\],14.42µm
_0787_,14.42µm
_2704_,14.4µm
_1990_,14.36µm
_2436_,14.355µm
_2569_,14.32µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[0\],14.3µm
_2470_,14.3µm
U_TOP.U_CACHE.ic_d2\[4\],14.295µm
_0752_,14.26µm
_0845_,14.26µm
_1894_,14.26µm
U_TOP.U_CACHE.dc_a1\[7\],14.22µm
_1490_,14.22µm
_2418_,14.22µm
_0047_,14.205µm
uio_oe[4],14.19µm
_1482_,14.18µm
_2697_,14.18µm
_0303_,14.165µm
_1324_,14.14µm
_2328_,14.14µm
_1741_,14.13µm
_1585_,14.12µm
_2673_,14.12µm
_1447_,14.1µm
_1212_,14.08µm
U_TOP.U_RAM.qspi_txd\[2\],14.04µm
_1424_,14.04µm
_2552_,14.02µm
net371,14µm
_0139_,14µm
_0865_,13.96µm
_0878_,13.96µm
_1189_,13.92µm
_1199_,13.92µm
_1496_,13.92µm
U_TOP.U_CACHE.ic_a3\[8\],13.9µm
net770,13.88µm
U_TOP.U_CACHE.ic_a3\[3\],13.86µm
net781,13.86µm
_0446_,13.84µm
_1983_,13.82µm
_2290_,13.82µm
_1734_,13.8µm
_1893_,13.8µm
_2501_,13.8µm
_1784_,13.78µm
_0405_,13.765µm
U_TOP.U_CPU.indent\[11\],13.76µm
_0402_,13.76µm
_2330_,13.76µm
_2602_,13.74µm
net799,13.74µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.wp\[1\],13.72µm
_1396_,13.72µm
U_TOP.U_CACHE.dc_d1\[21\],13.7µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[7\],13.68µm
_1067_,13.68µm
_1743_,13.66µm
_1994_,13.66µm
_0903_,13.64µm
_1468_,13.64µm
_1611_,13.64µm
_1642_,13.64µm
_1105_,13.62µm
U_TOP.U_CACHE.ic_d2\[5\],13.6µm
_1749_,13.6µm
_2274_,13.6µm
U_TOP.U_CACHE.bus_repl_addr\[14\],13.58µm
_2088_,13.58µm
_0645_,13.54µm
_1131_,13.54µm
_2329_,13.54µm
uio_oe[7],13.53µm
_1747_,13.52µm
_1979_,13.52µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[7\],13.505µm
_1883_,13.5µm
_2423_,13.5µm
U_TOP.U_CACHE.ic_d1\[26\],13.48µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[6\],13.48µm
_0117_,13.465µm
U_TOP.U_CACHE.ic_d0\[7\],13.46µm
_1023_,13.46µm
_2474_,13.46µm
_2437_,13.42µm
_2627_,13.42µm
net391,13.42µm
_1297_,13.39µm
uio_oe[5],13.39µm
_0907_,13.38µm
_2492_,13.38µm
U_TOP.U_CACHE.ic_d0\[27\],13.34µm
U_TOP.U_CACHE.ic_d2\[12\],13.34µm
_0101_,13.325µm
_0212_,13.325µm
_2653_,13.32µm
net590,13.32µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[6\],13.3µm
_0302_,13.3µm
_1727_,13.3µm
_2665_,13.3µm
net398,13.295µm
U_TOP.U_CACHE.ic_d2\[2\],13.265µm
_2451_,13.26µm
_2539_,13.26µm
_2637_,13.26µm
_0475_,13.22µm
_1011_,13.22µm
_2099_,13.22µm
_2346_,13.22µm
U_TOP.U_CACHE.IF_ADDR\[10\],13.16µm
U_TOP.U_CACHE.bus_pend_addr\[2\],13.16µm
U_TOP.U_CACHE.bus_pend_addr\[3\],13.16µm
U_TOP.U_CACHE.bus_pend_wdata\[25\],13.16µm
U_TOP.U_RAM.wdata\[7\],13.14µm
_1932_,13.12µm
_2108_,13.1µm
_1031_,13.08µm
net506,13.08µm
U_TOP.U_CACHE.DM_ADDR\[14\],13.045µm
_1512_,13.04µm
_1718_,13.04µm
_2069_,13.04µm
_2148_,13.04µm
_2471_,13.04µm
_2546_,13.02µm
_2559_,13.02µm
_2589_,13.02µm
U_TOP.U_CACHE.DM_ADDR\[6\],13µm
_1536_,13µm
_0260_,12.98µm
_0592_,12.98µm
_1091_,12.96µm
_1371_,12.96µm
_2194_,12.96µm
net527,12.96µm
_1459_,12.94µm
_1895_,12.94µm
_2042_,12.94µm
net413,12.94µm
_1041_,12.92µm
U_TOP.U_CACHE.ic_a3\[1\],12.88µm
U_TOP.U_CACHE.ic_d2\[26\],12.88µm
_1598_,12.88µm
U_TOP.U_CPU.if_code_keep\[1\],12.85µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[4\],12.8µm
_1465_,12.8µm
_1498_,12.78µm
_0409_,12.76µm
_1620_,12.76µm
net803,12.76µm
_0235_,12.74µm
_1500_,12.74µm
_1679_,12.74µm
U_TOP.U_CACHE.ic_d0\[6\],12.72µm
U_TOP.U_CACHE.ic_d1\[24\],12.72µm
_2595_,12.7µm
_0342_,12.68µm
_2582_,12.68µm
U_TOP.U_RAM.qspi_rxd_temp\[1\],12.66µm
_1265_,12.66µm
_2124_,12.66µm
_2156_,12.66µm
U_TOP.U_UART.BRG.sio_ce_x4_r,12.64µm
_2340_,12.64µm
_1198_,12.62µm
_2188_,12.6µm
_2282_,12.585µm
_1836_,12.58µm
_2183_,12.58µm
U_TOP.U_CACHE.bus_pend_addr\[11\],12.56µm
U_TOP.U_CACHE.ic_a3\[9\],12.54µm
_1586_,12.54µm
U_TOP.U_UART.BRG.cnt\[1\],12.52µm
_2215_,12.5µm
_2469_,12.5µm
_2648_,12.5µm
net820,12.5µm
_0662_,12.485µm
_1182_,12.48µm
_2473_,12.48µm
net668,12.48µm
net363,12.47µm
_0048_,12.445µm
_2254_,12.44µm
_2601_,12.44µm
_0276_,12.42µm
_1076_,12.42µm
net442,12.4µm
U_TOP.U_UART.BRG.br_cnt\[6\],12.34µm
_0209_,12.325µm
net730,12.32µm
U_TOP.U_CACHE.ic_d2\[16\],12.3µm
_0134_,12.3µm
net573,12.3µm
U_TOP.U_CACHE.ic_d3\[25\],12.28µm
_0466_,12.28µm
_0470_,12.28µm
_0535_,12.28µm
_2668_,12.28µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[7\],12.26µm
net576,12.26µm
U_TOP.U_CACHE.ic_d0\[1\],12.24µm
_0007_,12.24µm
_2007_,12.24µm
_2050_,12.24µm
_2271_,12.24µm
U_TOP.U_CACHE.ic_d0\[13\],12.235µm
U_TOP.U_CACHE.dm_mis_dphase_addr\[2\],12.2µm
U_TOP.U_UART.U_SASC_TOP.dpll_state\[3\],12.2µm
_2491_,12.18µm
_0886_,12.16µm
_2245_,12.16µm
_2624_,12.16µm
net410,12.16µm
_0160_,12.14µm
U_TOP.U_CACHE.ic_a1\[8\],12.12µm
U_TOP.U_UART.BRG.ps\[7\],12.12µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[2\],12.12µm
_0518_,12.12µm
_1044_,12.12µm
_1340_,12.12µm
_2125_,12.12µm
_2635_,12.12µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[0\],12.1µm
_0520_,12.085µm
U_TOP.U_CACHE.dc_a1\[4\],12.08µm
_1145_,12.08µm
_2057_,12.08µm
_2097_,12.06µm
_2317_,12.045µm
_1115_,12.04µm
U_TOP.U_CACHE.ic_d0\[4\],12.02µm
U_TOP.U_CACHE.bus_pend_addr\[9\],12µm
U_TOP.U_CACHE.dc_a1\[10\],12µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[1\],12µm
_0627_,12µm
_0770_,12µm
_1045_,12µm
_2163_,12µm
_0119_,11.985µm
_1532_,11.96µm
_1764_,11.96µm
U_TOP.U_CACHE.bus_pend_wdata\[20\],11.955µm
U_TOP.U_CACHE.ic_d3\[0\],11.92µm
_0246_,11.92µm
_2120_,11.9µm
net825,11.9µm
U_TOP.U_CACHE.ic_a0\[6\],11.88µm
U_TOP.U_CACHE.ic_d1\[8\],11.88µm
_0368_,11.86µm
uio_oe[6],11.85µm
U_TOP.U_CACHE.ic_a2\[7\],11.84µm
_0311_,11.84µm
_0646_,11.84µm
_2238_,11.84µm
net510,11.84µm
net797,11.84µm
_0283_,11.82µm
_0451_,11.8µm
_2151_,11.8µm
U_TOP.U_UART.U_SASC_TOP.rxd_dly\[3\],11.78µm
_0041_,11.78µm
_0799_,11.78µm
_1370_,11.78µm
_2132_,11.78µm
net695,11.78µm
net786,11.78µm
U_TOP.U_RAM.state\[1\],11.765µm
net783,11.76µm
U_TOP.U_CACHE.ic_d3\[7\],11.74µm
_1927_,11.74µm
_2176_,11.74µm
_2485_,11.74µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[6\],11.72µm
U_TOP.U_CACHE.ic_d3\[10\],11.7µm
_0332_,11.7µm
_1103_,11.7µm
_1970_,11.7µm
_2339_,11.7µm
_2462_,11.7µm
_0208_,11.685µm
U_TOP.U_CACHE.ic_a0\[1\],11.68µm
U_TOP.U_CACHE.ic_d1\[14\],11.68µm
net827,11.68µm
_0219_,11.665µm
U_TOP.U_CACHE.ic_d2\[21\],11.66µm
_0300_,11.66µm
_1057_,11.66µm
_1780_,11.66µm
_1892_,11.66µm
_2441_,11.66µm
_1077_,11.64µm
_2669_,11.64µm
_2091_,11.62µm
_2232_,11.62µm
_2314_,11.62µm
net483,11.62µm
net517,11.62µm
net659,11.62µm
_0427_,11.6µm
_1220_,11.58µm
_1826_,11.58µm
_2166_,11.58µm
net663,11.58µm
_2611_,11.56µm
net364,11.55µm
_1762_,11.54µm
_1452_,11.52µm
U_TOP.U_CACHE.ic_d3\[3\],11.5µm
_1215_,11.5µm
_2498_,11.5µm
_0290_,11.48µm
_0032_,11.46µm
_2549_,11.46µm
net641,11.46µm
_1519_,11.44µm
_2443_,11.44µm
net380,11.44µm
_0121_,11.425µm
U_TOP.U_CACHE.ic_d3\[21\],11.42µm
_0733_,11.42µm
_2278_,11.42µm
net836,11.42µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[2\],11.41µm
_0503_,11.4µm
U_TOP.U_CACHE.ic_d2\[13\],11.385µm
U_TOP.U_CACHE.ic_d0\[30\],11.38µm
U_TOP.U_CACHE.ic_d1\[31\],11.38µm
_1088_,11.38µm
net739,11.38µm
net802,11.38µm
U_TOP.U_CACHE.ic_d0\[16\],11.36µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[6\],11.36µm
_0364_,11.36µm
_1506_,11.35µm
_1671_,11.34µm
net383,11.335µm
U_TOP.U_CACHE.ic_d1\[11\],11.32µm
_1998_,11.32µm
U_TOP.U_CACHE.DM_ADDR\[7\],11.3µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[1\],11.26µm
net537,11.26µm
_1706_,11.24µm
_1731_,11.24µm
U_TOP.U_CACHE.bus_pend_addr\[8\],11.22µm
_0095_,11.22µm
_0092_,11.205µm
U_TOP.U_CACHE.dc_v1,11.2µm
_2201_,11.2µm
_2210_,11.2µm
net571,11.2µm
_0593_,11.18µm
_2206_,11.18µm
net796,11.18µm
_1488_,11.16µm
_1822_,11.14µm
_1913_,11.14µm
_2705_,11.14µm
U_TOP.U_CACHE.ic_d2\[3\],11.125µm
U_TOP.U_CACHE.ic_a1\[9\],11.12µm
_1629_,11.12µm
_1798_,11.12µm
_2550_,11.12µm
net660,11.12µm
U_TOP.U_CACHE.ic_d0\[10\],11.1µm
_1347_,11.1µm
_1484_,11.1µm
_1916_,11.1µm
_1451_,11.08µm
net459,11.08µm
_1904_,11.06µm
net438,11.06µm
U_TOP.U_CPU.if_code_keep\[0\],11.05µm
U_TOP.U_CACHE.ic_d0\[24\],11.04µm
net417,11.04µm
net577,11.04µm
_0617_,11.02µm
_0689_,11.02µm
_2463_,11.02µm
_0472_,11µm
_0489_,11µm
_1481_,11µm
_2104_,10.98µm
_0761_,10.94µm
_1218_,10.94µm
net670,10.94µm
U_TOP.U_CACHE.bus_pend_wdata\[9\],10.92µm
_2234_,10.92µm
_0120_,10.905µm
U_TOP.U_CACHE.ic_d1\[16\],10.88µm
_0162_,10.88µm
net436,10.88µm
U_TOP.U_CACHE.bus_pend_addr\[6\],10.82µm
_0961_,10.82µm
_1614_,10.82µm
_0299_,10.8µm
_2262_,10.8µm
_2599_,10.8µm
net806,10.8µm
_1207_,10.78µm
_1237_,10.78µm
_2686_,10.78µm
net650,10.78µm
_2218_,10.76µm
_2286_,10.76µm
U_TOP.U_CACHE.IF_ADDR\[9\],10.74µm
U_TOP.U_CACHE.bus_pend_wdata\[28\],10.74µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[5\],10.74µm
_1651_,10.74µm
_2604_,10.74µm
net842,10.74µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.gb,10.72µm
_2452_,10.72µm
_0093_,10.705µm
U_TOP.U_CACHE.ic_d2\[17\],10.7µm
_0454_,10.7µm
_0784_,10.68µm
_0169_,10.66µm
_1520_,10.66µm
_1875_,10.66µm
_1968_,10.66µm
_2255_,10.66µm
_2629_,10.66µm
U_TOP.U_CACHE.bus_pend_wdata\[16\],10.64µm
_2297_,10.64µm
U_TOP.U_CACHE.ic_a2\[4\],10.62µm
_0665_,10.62µm
_1129_,10.62µm
U_TOP.U_CACHE.IF_ADDR\[13\],10.6µm
_1183_,10.6µm
U_TOP.U_RAM.QSPI_SIO_E\[1\],10.58µm
_0701_,10.58µm
_1969_,10.58µm
net455,10.58µm
_0225_,10.565µm
_0377_,10.56µm
U_TOP.U_CACHE.ic_a3\[10\],10.55µm
_2651_,10.54µm
U_TOP.U_CACHE.ic_d3\[20\],10.525µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[4\],10.5µm
_1020_,10.5µm
_1361_,10.5µm
U_TOP.U_CACHE.bus_pend_wdata\[21\],10.48µm
_0240_,10.46µm
_1178_,10.46µm
_2170_,10.46µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[5\],10.44µm
_0435_,10.44µm
_2662_,10.44µm
_1815_,10.42µm
_2229_,10.42µm
_2502_,10.42µm
_2684_,10.42µm
_0464_,10.4µm
_2154_,10.4µm
net757,10.4µm
_2115_,10.38µm
_0589_,10.36µm
_1037_,10.36µm
_0684_,10.34µm
_1072_,10.34µm
_1394_,10.34µm
_1657_,10.34µm
_2646_,10.34µm
net784,10.34µm
_0113_,10.325µm
_0124_,10.325µm
net372,10.32µm
_0185_,10.32µm
_0530_,10.32µm
_1777_,10.32µm
_2041_,10.32µm
_2217_,10.32µm
_2258_,10.32µm
net580,10.32µm
net638,10.32µm
_0519_,10.3µm
_1635_,10.3µm
net696,10.285µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[7\],10.245µm
U_TOP.U_CACHE.ic_d3\[16\],10.24µm
_0087_,10.24µm
_1770_,10.24µm
_2141_,10.24µm
_2343_,10.24µm
_2591_,10.24µm
net404,10.24µm
_1640_,10.22µm
_2685_,10.22µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[3\],10.2µm
_1026_,10.2µm
_1593_,10.2µm
_1766_,10.2µm
_1781_,10.2µm
_2056_,10.2µm
_2488_,10.2µm
_2634_,10.18µm
net809,10.18µm
net365,10.17µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[7\],10.16µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[3\],10.16µm
_2077_,10.16µm
net808,10.16µm
_1135_,10.14µm
_0298_,10.12µm
_0895_,10.12µm
_1631_,10.12µm
_2094_,10.12µm
_0378_,10.1µm
_0497_,10.1µm
_0522_,10.1µm
_0917_,10.1µm
_2306_,10.1µm
U_TOP.U_UART.BRG.ps\[2\],10.08µm
U_TOP.U_UART.U_SASC_TOP.rx_sio_ce,10.08µm
_2572_,10.08µm
net468,10.08µm
U_TOP.U_CACHE.ic_d3\[14\],10.06µm
_1043_,10.06µm
_2373_,10.06µm
_1053_,10.04µm
_1538_,10.04µm
_1752_,10.04µm
_0396_,10.02µm
_2693_,10.02µm
U_TOP.U_CACHE.ic_d2\[20\],10µm
_0553_,10µm
_1549_,10µm
_0863_,9.98µm
net672,9.98µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[8\],9.96µm
_1661_,9.96µm
U_TOP.U_CACHE.bus_pend_addr\[15\],9.94µm
U_TOP.U_CACHE.bus_repl_addr\[7\],9.94µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[4\],9.94µm
_0970_,9.94µm
_1917_,9.94µm
_1954_,9.94µm
_2211_,9.94µm
_1788_,9.92µm
_1974_,9.92µm
net543,9.92µm
_0096_,9.905µm
_0253_,9.9µm
U_TOP.U_CACHE.ic_d3\[6\],9.88µm
_2114_,9.88µm
net539,9.86µm
_2364_,9.84µm
_1008_,9.825µm
U_TOP.U_CACHE.ic_a1\[6\],9.82µm
U_TOP.U_CACHE.ic_d2\[9\],9.82µm
_0296_,9.82µm
_0826_,9.82µm
_1530_,9.82µm
_1568_,9.82µm
_2707_,9.82µm
_2710_,9.82µm
U_TOP.U_UART.BRG.sio_ce_r,9.8µm
_2244_,9.8µm
_1909_,9.78µm
net839,9.76µm
U_TOP.U_CPU.if_code_keep\[3\],9.75µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[7\],9.74µm
_1317_,9.74µm
_1709_,9.74µm
_2111_,9.74µm
net525,9.74µm
_0044_,9.725µm
U_TOP.U_UART.U_SASC_TOP.rx_valid,9.72µm
U_TOP.U_CACHE.ic_a2\[0\],9.7µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[7\],9.7µm
_2276_,9.7µm
_2590_,9.7µm
net421,9.66µm
net514,9.66µm
net572,9.66µm
_2152_,9.655µm
_1079_,9.64µm
_1531_,9.64µm
U_TOP.U_CACHE.ic_d2\[14\],9.62µm
_0140_,9.6µm
_1401_,9.6µm
_2304_,9.6µm
net376,9.585µm
_1257_,9.58µm
_2087_,9.58µm
_2222_,9.58µm
_0020_,9.565µm
_0037_,9.56µm
_0317_,9.56µm
_0482_,9.56µm
_2533_,9.56µm
_0350_,9.54µm
_0999_,9.54µm
_1941_,9.54µm
_1973_,9.54µm
_2605_,9.54µm
net610,9.54µm
U_TOP.U_CPU.ir_data_keep\[5\],9.52µm
U_TOP.U_UART.U_SASC_TOP.rxd_dly\[4\],9.52µm
_0251_,9.52µm
_0329_,9.52µm
_0370_,9.52µm
_0379_,9.52µm
_0415_,9.52µm
_0443_,9.52µm
_2185_,9.505µm
_0152_,9.48µm
_0457_,9.48µm
_0468_,9.48µm
_0900_,9.48µm
_1094_,9.48µm
_1415_,9.48µm
_2116_,9.48µm
_2299_,9.48µm
_2344_,9.48µm
net397,9.48µm
_2324_,9.47µm
U_TOP.U_CACHE.bus_pend_wdata\[15\],9.46µm
_0331_,9.46µm
_0825_,9.46µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[4\],9.44µm
_2018_,9.44µm
_2402_,9.44µm
_1687_,9.4µm
_2280_,9.4µm
net617,9.4µm
_0444_,9.385µm
U_TOP.U_CACHE.ic_d0\[29\],9.36µm
U_TOP.U_CACHE.ic_d3\[9\],9.36µm
_0271_,9.36µm
_0861_,9.36µm
_2213_,9.36µm
U_TOP.U_CACHE.ic_d1\[28\],9.32µm
_1392_,9.32µm
net673,9.32µm
U_TOP.U_CACHE.bus_pend_wdata\[17\],9.3µm
_0793_,9.28µm
_1419_,9.28µm
_2448_,9.28µm
_0339_,9.265µm
_2248_,9.26µm
_0135_,9.24µm
_1128_,9.24µm
_1418_,9.24µm
_2318_,9.24µm
net785,9.24µm
net833,9.24µm
_0458_,9.225µm
_0699_,9.225µm
_0395_,9.2µm
_1794_,9.18µm
_1925_,9.18µm
U_TOP.U_CACHE.ic_d2\[28\],9.16µm
U_TOP.U_CACHE.ic_d2\[8\],9.16µm
_1483_,9.16µm
_1874_,9.16µm
_2565_,9.16µm
_2643_,9.16µm
_0393_,9.14µm
U_TOP.UART_TXD,9.13µm
_2240_,9.13µm
_1831_,9.12µm
_1342_,9.105µm
_0606_,9.1µm
_1066_,9.1µm
_1154_,9.1µm
_0529_,9.08µm
_2189_,9.08µm
_2681_,9.08µm
_0715_,9.04µm
_1170_,9.04µm
_2313_,9.04µm
_0866_,9.02µm
_0997_,9.02µm
_2060_,9.02µm
_2428_,9.02µm
_2690_,9.02µm
uio_oe[2],9.02µm
net782,9.02µm
U_TOP.U_CACHE.bus_pend_wdata\[18\],8.995µm
_0202_,8.98µm
_1720_,8.98µm
_1776_,8.98µm
_2009_,8.98µm
_2416_,8.98µm
_1458_,8.96µm
_2618_,8.96µm
_0871_,8.94µm
_1030_,8.94µm
_1453_,8.94µm
net581,8.94µm
net841,8.94µm
U_TOP.U_CACHE.ic_d1\[10\],8.9µm
U_TOP.U_CACHE.ic_d1\[1\],8.9µm
_2283_,8.9µm
_2359_,8.9µm
_2370_,8.9µm
_2398_,8.9µm
U_TOP.U_CPU.dr_data_keep\[0\],8.88µm
_0768_,8.86µm
net435,8.86µm
_1019_,8.84µm
_1205_,8.84µm
_1785_,8.84µm
net649,8.84µm
_0279_,8.82µm
_2134_,8.82µm
_0337_,8.805µm
_0625_,8.805µm
_1236_,8.8µm
_2002_,8.8µm
U_TOP.U_CACHE.ic_d0\[3\],8.78µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[7\],8.78µm
_1176_,8.76µm
_0018_,8.74µm
_0137_,8.74µm
_1429_,8.74µm
_2456_,8.74µm
_2497_,8.74µm
net550,8.74µm
net607,8.74µm
net697,8.74µm
_0525_,8.72µm
_0655_,8.72µm
_0956_,8.72µm
_1604_,8.72µm
_0642_,8.7µm
net378,8.685µm
_0252_,8.68µm
_1938_,8.68µm
_2089_,8.68µm
net521,8.68µm
U_TOP.U_CACHE.ic_a3\[7\],8.66µm
U_TOP.U_CACHE.ic_d3\[11\],8.66µm
_1063_,8.66µm
net819,8.66µm
U_TOP.U_CACHE.ic_d3\[27\],8.64µm
_2294_,8.64µm
_0333_,8.62µm
_0540_,8.62µm
_0590_,8.62µm
U_TOP.U_CPU.ir_data_keep\[0\],8.6µm
_0652_,8.6µm
_0930_,8.6µm
_1579_,8.6µm
_2465_,8.6µm
net737,8.6µm
U_TOP.U_CACHE.ic_d1\[4\],8.565µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[2\],8.56µm
_1395_,8.56µm
_1477_,8.56µm
_2052_,8.56µm
_2110_,8.56µm
_2412_,8.56µm
U_TOP.U_CPU.dr_data_keep\[4\],8.54µm
_1363_,8.54µm
_1935_,8.54µm
net683,8.54µm
net452,8.525µm
_1475_,8.52µm
_2363_,8.52µm
net598,8.52µm
_0216_,8.5µm
_0595_,8.5µm
_1208_,8.5µm
_0538_,8.48µm
_1413_,8.48µm
_1582_,8.48µm
_2585_,8.48µm
net763,8.48µm
_0528_,8.465µm
U_TOP.U_RAM.QSPI_CS_N,8.45µm
_0028_,8.44µm
_0649_,8.44µm
_0853_,8.44µm
_2082_,8.44µm
_2187_,8.44µm
_2196_,8.44µm
net700,8.44µm
_2269_,8.42µm
_1881_,8.4µm
_2107_,8.4µm
_2123_,8.4µm
_2216_,8.4µm
U_TOP.U_CACHE.bus_repl_addr\[11\],8.36µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[7\],8.36µm
_0704_,8.36µm
_1204_,8.36µm
_2558_,8.36µm
_2658_,8.36µm
_0479_,8.34µm
_1357_,8.34µm
_2220_,8.34µm
_2518_,8.34µm
net832,8.34µm
U_TOP.U_CACHE.ic_a2\[9\],8.32µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[7\],8.32µm
_2360_,8.32µm
_1977_,8.3µm
_2193_,8.3µm
net395,8.3µm
net501,8.3µm
net603,8.3µm
net716,8.3µm
_2006_,8.295µm
_0133_,8.28µm
_1362_,8.28µm
_1684_,8.28µm
_2079_,8.28µm
_2153_,8.28µm
_0321_,8.26µm
_2233_,8.25µm
_2285_,8.25µm
_0374_,8.24µm
net426,8.24µm
net845,8.24µm
_0341_,8.22µm
_0399_,8.22µm
_0663_,8.22µm
U_TOP.U_CACHE.ic_a1\[1\],8.2µm
_2224_,8.2µm
_0284_,8.18µm
_2583_,8.18µm
_0179_,8.16µm
_0269_,8.16µm
_0334_,8.16µm
_0340_,8.16µm
_0414_,8.16µm
_0494_,8.16µm
_0536_,8.16µm
_1316_,8.16µm
_1417_,8.16µm
_0618_,8.14µm
_0854_,8.14µm
_1901_,8.14µm
net419,8.14µm
net824,8.14µm
_2289_,8.125µm
U_TOP.U_CPU.ir_data_keep\[6\],8.12µm
_0906_,8.12µm
net460,8.12µm
_1751_,8.105µm
net379,8.105µm
_1060_,8.1µm
_1524_,8.1µm
_1848_,8.1µm
_2352_,8.1µm
net702,8.1µm
_1013_,8.08µm
_0108_,8.065µm
