Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_66_197,VGND,li1,94.7600,182.2400,0.000004
FILLER_66_192,VGND,li1,92.0000,182.2400,0.000005
FILLER_66_186,VGND,li1,88.5500,182.2400,0.000007
FILLER_66_167,VGND,li1,79.8100,182.2400,0.000007
FILLER_66_141,VGND,li1,69.0000,182.2400,0.000005
FILLER_66_104,VGND,li1,50.8300,182.2400,0.000005
FILLER_66_100,VGND,li1,49.6800,182.2400,0.000005
FILLER_66_83,VGND,li1,41.1700,182.2400,0.000006
FILLER_66_57,VGND,li1,29.2100,182.2400,0.000006
FILLER_66_29,VGND,li1,17.4800,182.2400,0.000004
FILLER_65_653,VGND,li1,303.3700,182.2400,0.000011
FILLER_65_615,VGND,li1,285.8900,182.2400,0.000006
FILLER_65_561,VGND,li1,261.0500,182.2400,0.000003
FILLER_65_559,VGND,li1,260.1300,182.2400,0.000003
FILLER_65_534,VGND,li1,248.6300,182.2400,0.000003
FILLER_65_507,VGND,li1,236.2100,182.2400,0.000003
FILLER_65_503,VGND,li1,234.3700,182.2400,0.000003
FILLER_65_486,VGND,li1,227.2400,182.2400,0.000002
FILLER_65_466,VGND,li1,217.3500,182.2400,0.000002
FILLER_65_447,VGND,li1,208.6100,182.2400,0.000002
FILLER_65_383,VGND,li1,179.1700,182.2400,0.000002
FILLER_65_353,VGND,li1,165.3700,182.2400,0.000002
FILLER_65_349,VGND,li1,164.2200,182.2400,0.000003
FILLER_65_339,VGND,li1,159.6200,182.2400,0.000003
FILLER_65_335,VGND,li1,157.0900,182.2400,0.000003
FILLER_65_324,VGND,li1,152.0300,182.2400,0.000003
FILLER_65_277,VGND,li1,130.4100,182.2400,0.000004
FILLER_65_252,VGND,li1,118.9100,182.2400,0.000004
FILLER_65_248,VGND,li1,117.7600,182.2400,0.000004
FILLER_65_236,VGND,li1,114.0800,182.2400,0.000004
FILLER_65_223,VGND,li1,105.5700,182.2400,0.000003
FILLER_65_216,VGND,li1,102.3500,182.2400,0.000003
FILLER_65_210,VGND,li1,100.7400,182.2400,0.000003
FILLER_65_198,VGND,li1,96.6000,182.2400,0.000004
FILLER_65_186,VGND,li1,91.0800,182.2400,0.000006
